Title,title_year,budget,Gross,actor_1_name,actor_2_name,actor_3_name,IMDb_rating,genre_1,genre_2,genre_3,MetaCritic,Runtime,content_rating,Country
La La Land,1.0,0.10505836575875485,0.16111894503103064,Ryan Gosling,Emma Stone,Amie Conn,0.5384615384615374,Comedy,Drama,Music,0.8157894736842104,0.4157303370786516,PG-13,USA
Zootopia,1.0,0.5719844357976653,0.36419311161792434,Ginnifer Goodwin,Jason Bateman,Idris Elba,0.4615384615384608,Animation,Adventure,Comedy,0.4210526315789471,0.19101123595505598,PG,USA
Lion,1.0,0.03501945525291829,0.055011699344187606,Dev Patel,Nicole Kidman,Rooney Mara,0.4615384615384608,Biography,Drama,Suspense,0.18421052631578938,0.3033707865168538,PG-13,Australia
Arrival,1.0,0.17120622568093385,0.10713176904397877,Amy Adams,Jeremy Renner,Forest Whitaker,0.38461538461538414,Drama,Mystery,Sci-Fi,0.4999999999999998,0.2808988764044944,PG-13,USA
Manchester by the Sea,1.0,0.023346303501945526,0.050693706771335084,Casey Affleck,Michelle Williams ,Kyle Chandler,0.3076923076923075,Drama,Drama,Suspense,0.894736842105263,0.5168539325842696,R,USA
Hell or High Water,1.0,0.03501945525291829,0.028601994932956547,Chris Pine,Jeff Bridges,Ben Foster,0.1538461538461533,Crime,Drama,Thriller,0.6842105263157896,0.12359550561797739,R,USA
Doctor Strange,1.0,0.6303501945525292,0.24819367213744944,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,0.07692307692307665,Action,Adventure,Fantasy,0.26315789473684204,0.2696629213483146,PG-13,USA
Tangled,0.0,1.0,0.21419820757518776,Brad Garrett,Donna Murphy,M.C. Gainey,0.23076923076922995,Animation,Adventure,Comedy,0.23684210526315774,0.3707865168539324,PG,USA
The Dark Knight Rises,0.3333333333333144,0.9610894941634242,0.47830888846294173,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,0.6923076923076916,Action,Thriller,Suspense,0.4210526315789471,0.8202247191011236,PG-13,USA
Captain America: Civil War,1.0,0.9610894941634242,0.4345971391708871,Robert Downey Jr.,Scarlett Johansson,Chris Evans,0.3076923076923075,Action,Adventure,Sci-Fi,0.3421052631578947,0.6292134831460674,PG-13,USA
The Hobbit: The Desolation of Smaug,0.5,0.8638132295719845,0.27565242901559955,Aidan Turner,Adam Brown,James Nesbitt,0.3076923076923075,Adventure,Fantasy,Suspense,0.10526315789473673,0.7865168539325842,PG-13,USA
The Avengers,0.3333333333333144,0.8443579766536965,0.6653461857710026,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,0.4615384615384608,Action,Sci-Fi,Suspense,0.18421052631578938,0.5842696629213482,PG-13,USA
Toy Story 3,0.0,0.7665369649805448,0.4429129185196463,Tom Hanks,John Ratzenberger,Don Rickles,0.615384615384615,Animation,Adventure,Comedy,0.7894736842105263,0.1348314606741572,G,USA
Skyfall,0.3333333333333144,0.7665369649805448,0.32477997829023214,Albert Finney,Helen McCrory,Rory Kinnear,0.23076923076922995,Action,Adventure,Thriller,0.4999999999999998,0.5842696629213482,PG-13,UK
X-Men: Days of Future Past,0.6666666666666288,0.7665369649805448,0.2495531486579266,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,0.38461538461538414,Action,Adventure,Sci-Fi,0.3157894736842104,0.4606741573033708,PG-13,USA
Star Trek Into Darkness,0.5,0.7276264591439688,0.2440442395063841,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,0.23076923076922995,Action,Adventure,Sci-Fi,0.26315789473684204,0.4606741573033708,PG-13,USA
The Hobbit: An Unexpected Journey,0.3333333333333144,0.688715953307393,0.3233286836627726,Aidan Turner,Adam Brown,James Nesbitt,0.3076923076923075,Adventure,Fantasy,Suspense,0.631578947368421,0.8764044943820224,PG-13,USA
Edge of Tomorrow,0.6666666666666288,0.6809338521400778,0.10675092391316078,Tom Cruise,Lara Pulver,Noah Taylor,0.3076923076923075,Action,Adventure,Sci-Fi,0.23684210526315774,0.247191011235955,PG-13,USA
Inside Out,0.8333333333333144,0.669260700389105,0.38041000235074734,Amy Poehler,Mindy Kaling,Phyllis Smith,0.5384615384615374,Animation,Adventure,Comedy,0.8421052631578945,0.04494382022471899,PG,USA
Guardians of the Galaxy,0.6666666666666288,0.6498054474708171,0.35550321582449185,Bradley Cooper,Vin Diesel,Djimon Hounsou,0.4615384615384608,Action,Adventure,Sci-Fi,0.368421052631579,0.3370786516853932,PG-13,USA
Captain America: The Winter Soldier,0.6666666666666288,0.6498054474708171,0.27713848941137015,Scarlett Johansson,Chris Evans,Hayley Atwell,0.23076923076922995,Action,Adventure,Sci-Fi,0.21052631578947367,0.5056179775280898,PG-13,USA
Dawn of the Planet of the Apes,0.6666666666666288,0.6498054474708171,0.22245986483678823,Gary Oldman,Judy Greer,Kodi Smit-McPhee,0.07692307692307665,Action,Adventure,Drama,0.44736842105263164,0.4382022471910112,PG-13,USA
Hugo,0.16666666666662877,0.6498054474708171,0.07859166926697123,ChloÃÂ« Grace Moretz,Christopher Lee,Ray Winstone,0.0,Adventure,Drama,Family,0.5526315789473684,0.393258426966292,PG,USA
